,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense,CenterLatitude,CenterLongitude
0,Bodily Force,Female,Black,Tensed,Folwell,Fight ,DISCON,45.015878,-93.298111
1,Bodily Force,Male,Black,Fled in Vehicle,Wenonah,Suspicious Vehicle ,FLEE,44.898115,-93.225106
2,Bodily Force,Male,Black,Verbal Non-Compliance,Ventura Village,Trespass in Boarded Dwell ,NARC,44.962688,-93.269582
3,Taser,Male,White,Tensed,Minnehaha,Emotionally Disturb Person ,FENTRY,44.906432,-93.204183
4,Bodily Force,Male,White,Verbal Non-Compliance,Harrison,Person with a Gun ,OBSTRU,44.979777,-93.306312
5,Bodily Force,Male,Black,Verbal Non-Compliance,Lowry Hill East,Assault in Progress ,POVIOL,44.959124,-93.288659
6,Bodily Force,Male,Black,Verbal Non-Compliance,Folwell,Traffic Law Enforcement ,OBSTRU,45.013131,-93.293698
7,Bodily Force,Female,Black,Unspecified,Holland,Domestic Abuse-In Progress ,911INT,45.011083,-93.25732
8,Bodily Force,Female,Other / Mixed Race,Commission of Crime,Jordan,Attempt Pick-Up ,CHLDAB,45.000883,-93.295639
9,Bodily Force,Male,Other / Mixed Race,Tensed,Nicollet Island - East Bank,Poss Personal Injury Acc ,DWI,44.988867,-93.253396
10,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Burglary Biz - In Progress ,BURGB,44.975836,-93.271289
11,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,OBSTRU,44.982137,-93.269013
12,Bodily Force,Female,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON,44.980833,-93.27196
13,Bodily Force,Male,Black,Verbal Non-Compliance,Jordan,Person with a Weapon ,OBSTRU,45.011326,-93.294958
15,Bodily Force,Male,Black,Tensed,Waite Park,Domestic Abuse-In Progress ,OBSTRU,45.032532,-93.247231
16,Chemical Irritant,Female,White,Commission of Crime,CARAG,Domestic Abuse-In Progress ,DISCON,44.948361,-93.293832
17,Bodily Force,Female,Black,Commission of Crime,Jordan,Attempt Pick-Up ,CHLDAB,45.000883,-93.295639
18,Bodily Force,Male,White,Tensed,Willard - Hay,Check the Welfare ,CIC,44.999711,-93.313333
19,Bodily Force,Male,Black,Commission of Crime,Loring Park,Fight ,DISCON,44.96706,-93.280839
20,Bodily Force,Male,Black,Fled in Vehicle,Downtown West,Traffic Law Enforcement ,FLEE,44.978019,-93.277025
21,Baton,Male,Black,Commission of Crime,North Loop,Fight ,LIQLIC,44.986175,-93.270133
22,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,LOITER,44.976774,-93.27736
23,Bodily Force,Male,Black,Tensed,Harrison,Domestic Abuse-In Progress ,BURGD,44.980867,-93.301983
24,Bodily Force,Male,White,Unspecified,East Harriet,Suspicious Vehicle ,AOA,44.925909,-93.296905
25,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Person ,WT,44.999677,-93.2802
26,Taser,Male,Other / Mixed Race,Verbal Non-Compliance,Downtown West,Disturbance ,FORCE,44.97468,-93.273192
27,Bodily Force,Male,Black,Verbal Non-Compliance,Lowry Hill East,Assault in Progress ,POVIOL,44.959124,-93.288659
28,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Vehicle ,RECVEH,45.010118,-93.286438
29,Bodily Force,Male,Native American,Tensed,Hawthorne,Domestic Abuse-In Progress ,OBSTRU,45.005359,-93.283381
30,Bodily Force,Female,Black,Commission of Crime,Harrison,Attempt Pick-Up ,OBSTRU,44.980447,-93.309598
31,Chemical Irritant,Male,White,Commission of Crime,CARAG,Domestic Abuse-In Progress ,DISCON,44.948361,-93.293832
32,Bodily Force,Male,White,Tensed,Holland,Traffic Law Enforcement ,DWIREF,45.014978,-93.257329
33,Bodily Force,Male,Black,Tensed,Nicollet Island - East Bank,Assault in Progress ,ASLT3,44.986713,-93.258074
34,Taser,Male,Black,Fled on Foot,Folwell,Recover Vehicle ,RECVEH,45.016752,-93.296221
35,Bodily Force,Male,Black,Tensed,Hawthorne,Audible Residential Alarm ,BURGD,45.002031,-93.284933
36,Bodily Force,Female,Other / Mixed Race,Verbal Non-Compliance,East Phillips,Fight ,ASLT5,44.95464,-93.249908
37,Bodily Force,Male,White,Unspecified,East Harriet,Suspicious Vehicle ,AOA,44.925909,-93.296905
38,Taser,Male,Black,Fled on Foot,Elliot Park,High Risk Warrant Entry ,NARC,44.968485,-93.267657
39,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Vehicle ,RECVEH,45.010118,-93.286438
40,Bodily Force,Male,Native American,Tensed,Hawthorne,Domestic Abuse-In Progress ,OBSTRU,45.005359,-93.283381
41,Taser,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON,44.979702,-93.268029
42,Chemical Irritant,Male,Black,Assaulted Officer,Downtown West,Assault in Progress ,ASLT4,44.981655,-93.271963
43,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Suspicious Vehicle ,FLEE,44.996367,-93.279935
44,Bodily Force,Female,Black,Unspecified,Holland,Domestic Abuse-In Progress ,911INT,45.011083,-93.25732
45,Bodily Force,Male,White,Commission of Crime,Windom Park,Domestic Abuse-In Progress ,OBSTRU,45.009901,-93.244693
46,Bodily Force,Male,White,Fled in Vehicle,Near - North,Motor Vehicle Chase ,FLEE,44.984396,-93.304503
47,Bodily Force,Male,Black,Tensed,Central,Traffic Law Enforcement ,OBSTRU,44.937458,-93.274069
48,Bodily Force,Male,White,Tensed,Downtown West,Miscellaneous ,FORCE,44.979187,-93.273109
49,Bodily Force,Male,Asian,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL,44.98883,-93.29104
50,Chemical Irritant,Male,Black,Tensed,Webber - Camden,Suspicious Person ,FORCE,45.029365,-93.288728
51,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,LOITER,44.97924,-93.278939
52,Bodily Force,Male,White,Fled in Vehicle,Logan Park,Motor Vehicle Chase ,FLEE,45.007207,-93.252466
53,Bodily Force,Male,Black,Tensed,Waite Park,Domestic Abuse-In Progress ,OBSTRU,45.032532,-93.247231
54,Taser,Male,Black,Assaulted Officer,Downtown West,Suspected Hazard ,ASLT5,44.978407,-93.278819
55,Bodily Force,Male,Native American,Tensed,Hawthorne,Domestic Abuse-In Progress ,OBSTRU,45.005359,-93.283381
56,Bodily Force,Male,White,Tensed,Lowry Hill East,Domestic with Weapons ,DASLT2,44.954644,-93.295689
57,Bodily Force,Male,Black,Tensed,Hawthorne,Neighbor Trouble ,OBSTRU,45.013029,-93.290726
58,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Assault in Progress ,ASLT4,44.981655,-93.271963
59,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Suspicious Vehicle ,FLEE,44.996367,-93.279935
60,Bodily Force,Male,Asian,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL,44.98883,-93.29104
61,Chemical Irritant,Male,Black,Verbal Non-Compliance,Ventura Village,Trespass in Boarded Dwell ,NARC,44.962688,-93.269582
62,Bodily Force,Male,Black,Tensed,Near - North,Unknown Trouble ,DASLT5,44.995809,-93.281566
63,Taser,Male,White,Fled in Vehicle,Central,Motor Vehicle Chase ,FLEE,44.943185,-93.265782
64,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Vehicle ,RECVEH,45.010118,-93.286438
65,Bodily Force,Male,White,Tensed,Downtown West,On Site ,NOSMOK,44.979187,-93.273109
66,Bodily Force,Male,Black,Verbal Non-Compliance,Logan Park,Music-Loud ,OBSTRU,45.000899,-93.256903
67,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Suspicious Vehicle ,FLEE,44.996367,-93.279935
68,Bodily Force,Male,Black,Unspecified,Jordan,Attempt Pick-Up ,WT,45.003397,-93.303748
69,Bodily Force,Male,Other / Mixed Race,Tensed,Nicollet Island - East Bank,Poss Personal Injury Acc ,DWI,44.988867,-93.253396
70,Taser,Male,White,Fled in Vehicle,Near - North,Motor Vehicle Chase ,FLEE,44.984396,-93.304503
71,Taser,Male,Black,Tensed,Audubon Park,Assault in Progress ,FORCE,45.021301,-93.244784
72,Chemical Irritant,Male,Black,Fled on Foot,Hawthorne,Suspicious Vehicle ,OBSTRU,44.999677,-93.2802
73,Bodily Force,Male,White,Commission of Crime,Downtown West,Fight ,DISCON,44.979626,-93.272499
75,Bodily Force,Male,Black,Tensed,Cleveland,Domestic Abuse-In Progress ,DASLT5,45.015051,-93.312704
76,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Person ,RECVEH,45.005356,-93.284931
77,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU,44.981655,-93.271963
78,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Fight ,ASLT4,44.979626,-93.272499
79,Taser,Male,Native American,Tensed,Ventura Village,Drunk/Intoxicated Person ,FORCE,44.96378,-93.251653
80,Bodily Force,Male,White,Verbal Non-Compliance,Downtown West,Fight ,THFTSW,44.980065,-93.271883
81,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Person ,DISCON,44.976808,-93.276431
82,Bodily Force,Male,White,Fled on Foot,Lowry Hill East,Damage Property-In Progress,OBSTRU,44.955542,-93.288675
83,Bodily Force,Male,Black,Unspecified,Bottineau,Miscellaneous ,DISCON,45.008036,-93.271699
84,Bodily Force,Male,Asian,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL,44.98883,-93.29104
85,Bodily Force,Male,Black,Verbal Non-Compliance,Ventura Village,Trespass in Boarded Dwell ,NARC,44.962688,-93.269582
86,Bodily Force,Male,Black,Tensed,Powderhorn Park,Person with a Weapon ,THEFT,44.948369,-93.249324
87,Chemical Irritant,Male,White,Unspecified,Downtown West,Fight ,FORCE,44.979626,-93.272499
88,Baton,Male,Black,Commission of Crime,Downtown West,Unwanted Person ,OBSTRU,44.974295,-93.266112
89,Bodily Force,Female,Black,Commission of Crime,Harrison,Attempt Pick-Up ,OBSTRU,44.980447,-93.309598
90,Chemical Irritant,Male,White,Commission of Crime,CARAG,Domestic Abuse-In Progress ,DISCON,44.948361,-93.293832
91,Bodily Force,Male,Other / Mixed Race,Tensed,Nicollet Island - East Bank,Poss Personal Injury Acc ,DWI,44.988867,-93.253396
92,Bodily Force,Male,Black,Commission of Crime,Loring Park,Fight ,DISCON,44.96706,-93.280839
93,Chemical Irritant,Male,Black,Verbal Non-Compliance,Longfellow,Theft ,DISCON,44.953633,-93.233901
94,Bodily Force,Male,Black,Commission of Crime,Willard - Hay,Attempt Pick-Up ,HANDGN,44.996087,-93.31462
95,Bodily Force,Male,Asian,Fled on Foot,Folwell,Chase on Foot ,OBSTRU,45.021359,-93.307014
96,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE,44.999153,-93.293351
97,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE,44.999153,-93.293351
98,Bodily Force,Male,Black,Tensed,Harrison,Disturbance ,DISCON,44.980557,-93.299256
99,Bodily Force,Male,White,Fled in Vehicle,Central,Motor Vehicle Chase ,FLEE,44.943185,-93.265782
100,Bodily Force,Male,Black,Verbal Non-Compliance,Lowry Hill East,Assault in Progress ,POVIOL,44.959124,-93.288659
101,Bodily Force,Male,White,Tensed,Downtown West,On Site ,NOSMOK,44.979187,-93.273109
102,Bodily Force,Male,White,Unspecified,Lyndale,Suspicious Vehicle ,NOINS,44.948355,-93.282185
103,Bodily Force,Male,White,Tensed,Downtown East,Traffic Law Enforcement ,OBSTRU,44.977185,-93.259053
104,Bodily Force,Male,Other / Mixed Race,Tensed,Nicollet Island - East Bank,Poss Personal Injury Acc ,DWI,44.988867,-93.253396
105,Bodily Force,Male,Black,Fled in Vehicle,Hawthorne,Traffic Law Enforcement ,FLEE,45.010125,-93.288002
106,Bodily Force,Male,White,Unspecified,East Harriet,Suspicious Vehicle ,AOA,44.925909,-93.296905
107,Taser,Male,Black,Fled in Vehicle,Phillips West,Person with a Gun ,FLEE,44.9609,-93.267033
108,Bodily Force,Male,Black,Tensed,Near - North,Unknown Trouble ,DASLT5,44.995809,-93.281566
109,Bodily Force,Male,Black,Fled in Vehicle,Downtown West,Suspicious Vehicle ,DWIREF,44.979153,-93.277322
110,Chemical Irritant,Male,White,Verbal Non-Compliance,Harrison,Person with a Gun ,OBSTRU,44.979777,-93.306312
111,Bodily Force,Male,Black,Commission of Crime,Downtown West,Unwanted Person ,OBSTRU,44.974295,-93.266112
112,Bodily Force,Male,Black,Tensed,Hawthorne,Neighbor Trouble ,OBSTRU,45.013029,-93.290726
113,Bodily Force,Female,Other / Mixed Race,Commission of Crime,Jordan,Attempt Pick-Up ,CHLDAB,45.000883,-93.295639
114,Bodily Force,Male,Black,Fled on Foot,East Isles,Crim Sex Conduct/Report ,CSCR,44.953025,-93.299503
115,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Burglary Biz - In Progress ,BURGB,44.975836,-93.271289
116,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Burglary Biz - In Progress ,BURGB,44.975836,-93.271289
117,Bodily Force,Male,White,Tensed,Downtown West,Miscellaneous ,FORCE,44.979187,-93.273109
118,Taser,Male,Black,Fled in Vehicle,Wenonah,Suspicious Vehicle ,FLEE,44.898115,-93.225106
119,Bodily Force,Male,White,Tensed,Lowry Hill,Unknown Trouble ,CBYMIN,44.965874,-93.288877
120,Taser,Male,White,Verbal Non-Compliance,Cleveland,Check the Welfare ,CIC,45.022277,-93.310208
121,Bodily Force,Male,Native American,Tensed,Hawthorne,Domestic Abuse-In Progress ,OBSTRU,45.005359,-93.283381
122,Chemical Irritant,Male,White,Fled on Foot,Waite Park,Unknown Trouble ,DASLT5,45.020074,-93.230707
123,Bodily Force,Male,Other / Mixed Race,Tensed,Nicollet Island - East Bank,Poss Personal Injury Acc ,DWI,44.988867,-93.253396
124,Taser,Male,Black,Tensed,Central,Fight ,OBSTRU,44.940478,-93.267638
125,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Vehicle ,OBSTRU,44.999677,-93.2802
126,Bodily Force,Male,Black,Fled in Vehicle,Downtown West,Traffic Law Enforcement ,FLEE,44.978019,-93.277025
127,Bodily Force,Male,White,Verbal Non-Compliance,Lowry Hill East,Suspicious Person ,ASLT5,44.948812,-93.297004
128,Bodily Force,Male,Black,Tensed,Midtown Phillips,Domestic Abuse-In Progress ,DASLT5,44.953739,-93.253096
129,Bodily Force,Male,White,Commission of Crime,Whittier,Paramedic Needs Help ,ASLT5,44.959194,-93.277198
130,Bodily Force,Male,Black,Fled in Vehicle,Wenonah,Suspicious Vehicle ,FLEE,44.898115,-93.225106
131,Taser,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE,44.999153,-93.293351
132,Bodily Force,Male,Unknown,Tensed,Near - North,Domestic Abuse-In Progress ,OBSTRU,44.98699,-93.307013
133,Bodily Force,Male,Black,Assaulted Officer,Hawthorne,Domestic Abuse-In Progress ,ASLT1,45.004244,-93.283383
134,Taser,Male,Native American,Tensed,Hawthorne,Domestic Abuse-In Progress ,OBSTRU,45.005359,-93.283381
135,Bodily Force,Male,Black,Verbal Non-Compliance,East Phillips,Person with a Weapon ,ASLT5,44.948369,-93.239479
136,Bodily Force,Female,Black,Commission of Crime,Harrison,Attempt Pick-Up ,OBSTRU,44.980447,-93.309598
137,Chemical Irritant,Female,White,Commission of Crime,CARAG,Domestic Abuse-In Progress ,DISCON,44.948361,-93.293832
138,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Suspicious Vehicle ,FLEE,44.996367,-93.279935
139,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Vehicle ,DWI,44.981648,-93.273116
140,Bodily Force,Female,Black,Tensed,Downtown West,Disturbance ,DISCON,44.981232,-93.268587
141,Taser,Male,Black,Verbal Non-Compliance,Whittier,Person with a Weapon ,ASLT5,44.954638,-93.279645
142,Bodily Force,Male,Other / Mixed Race,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL,44.98883,-93.29104
143,Taser,Male,Native American,Verbal Non-Compliance,Cedar Riverside,Assault in Progress ,FORCE,44.965296,-93.232184
144,Bodily Force,Male,Black,Tensed,Waite Park,Domestic Abuse-In Progress ,OBSTRU,45.032532,-93.247231
145,Bodily Force,Male,Black,Commission of Crime,Downtown West,Unwanted Person ,OBSTRU,44.974295,-93.266112
146,Bodily Force,Female,Native American,Tensed,Corcoran,Domestic Abuse-In Progress ,DASLT5,44.940432,-93.246087
147,Bodily Force,Male,Black,Assaulted Officer,Steven's Square - Loring Heights,Unknown Trouble ,DASTR,44.963217,-93.28337
148,Improvised Weapon,Male,Black,Fled in Vehicle,Near - North,Suspicious Vehicle ,FLEE,44.996367,-93.279935
149,Bodily Force,Male,White,Tensed,East Phillips,Traffic Law Enforcement ,NARC,44.955998,-93.247356
150,Bodily Force,Female,Black,Commission of Crime,Jordan,Attempt Pick-Up ,CHLDAB,45.000883,-93.295639
151,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Burglary Biz - In Progress ,BURGB,44.975836,-93.271289
152,Improvised Weapon,Male,White,Unspecified,Hawthorne,Person with a Gun ,FORCE,45.010125,-93.288002
153,Bodily Force,Female,Black,Assaulted Officer,Bottineau,Suspicious Person ,DISCON,45.008036,-93.271699
154,Taser,Male,Black,Verbal Non-Compliance,Whittier,Person with a Weapon ,ASLT5,44.954638,-93.279645
155,Bodily Force,Male,Other / Mixed Race,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL,44.98883,-93.29104
156,Taser,Male,Black,Tensed,Elliot Park,On Site ,PI,44.96672,-93.265104
157,Bodily Force,Male,Black,Tensed,Standish,Person with a Gun ,ROBPAG,44.93502,-93.233389
158,Bodily Force,Male,White,Fled in Vehicle,Central,Motor Vehicle Chase ,FLEE,44.943185,-93.265782
159,Bodily Force,Male,Black,Tensed,Waite Park,Domestic Abuse-In Progress ,OBSTRU,45.032532,-93.247231
160,Bodily Force,Male,White,Tensed,Sheridan,Unwanted Person ,OBSTRU,45.002528,-93.264618
161,Bodily Force,Male,Black,Verbal Non-Compliance,East Phillips,Person with a Weapon ,ASLT5,44.948369,-93.239479
162,Taser,Female,Black,Commission of Crime,Tangletown,Fight ,FLEEFT,44.914179,-93.281874
163,Bodily Force,Male,Black,Tensed,Hawthorne,Neighbor Trouble ,OBSTRU,45.013029,-93.290726
164,Baton,Male,Black,Assaulted Officer,Downtown West,Assault in Progress ,ASLT4,44.981655,-93.271963
165,Bodily Force,Male,Asian,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL,44.98883,-93.29104
166,Bodily Force,Male,Black,Fled in Vehicle,Hawthorne,Motor Vehicle Chase ,FLEE,45.003136,-93.28799
167,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,LOITER,44.97924,-93.278939
168,Bodily Force,Male,Black,Tensed,Harrison,Disturbance ,DISCON,44.980557,-93.299256
169,Bodily Force,Male,White,Fled in Vehicle,Central,Motor Vehicle Chase ,FLEE,44.943185,-93.265782
170,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Vehicle ,RECVEH,45.010118,-93.286438
171,Bodily Force,Male,Black,Commission of Crime,Downtown West,Unwanted Person ,OBSTRU,44.974295,-93.266112
172,Taser,Male,Black,Verbal Non-Compliance,Lyndale,Assist an Officer ,OBSTRU,44.940441,-93.277916
173,Improvised Weapon,Male,Black,Fled in Vehicle,Near - North,Suspicious Vehicle ,FLEE,44.996367,-93.279935
174,Bodily Force,Male,Black,Unspecified,Jordan,Attempt Pick-Up ,WT,45.003397,-93.303748
175,Taser,Male,Black,Fled on Foot,Logan Park,Chase on Foot ,NARC,45.000899,-93.256903
176,Taser,Male,Native American,Tensed,Lyndale,Fight ,PRIORI,44.947481,-93.284298
177,Chemical Irritant,Female,Black,Assaulted Officer,Hawthorne,Suspicious Vehicle ,OBSTRU,44.999677,-93.2802
178,Taser,Male,Native American,Tensed,Lyndale,Fight ,PRIORI,44.947481,-93.284298
179,Bodily Force,Male,Black,Fled in Vehicle,Downtown West,Traffic Law Enforcement ,FLEE,44.978019,-93.277025
180,Bodily Force,Female,Black,Tensed,Lind - Bohanon,Unwanted Person ,DAMPRP,45.043001,-93.28886
181,Bodily Force,Male,Black,Tensed,Cleveland,Domestic Abuse-In Progress ,DASLT5,45.015051,-93.312704
182,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON,44.981648,-93.273116
183,Bodily Force,Male,Black,Fled on Foot,Downtown West,Fight ,OBSTRU,44.981655,-93.271963
184,Bodily Force,Male,Native American,Tensed,King Field,Assist EMS Personnel ,CIC,44.936828,-93.277915
185,Bodily Force,Male,Black,Verbal Non-Compliance,Central,Fight ,OBSTRU,44.942269,-93.270222
186,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Disturbance ,DISCON,44.979626,-93.272499
187,Bodily Force,Female,Black,Assaulted Officer,Audubon Park,Fight ,OBSTRU,45.015904,-93.239684
188,Bodily Force,Female,Black,Tensed,Bancroft,Burglary Dwlng In Progress ,FORCE,44.93321,-93.247341
189,Bodily Force,Male,White,Commission of Crime,Downtown West,Code 3 ,MISC,44.980808,-93.273141
190,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE,44.999153,-93.293351
191,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,LOITER,44.97924,-93.278939
192,Bodily Force,Male,Unknown,Tensed,Near - North,Domestic Abuse-In Progress ,OBSTRU,44.98699,-93.307013
193,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Unwanted Person ,OBSTRU,44.974295,-93.266112
194,Bodily Force,Male,Black,Commission of Crime,Near - North,Traffic Law Enforcement ,NARC,44.990594,-93.301959
195,Taser,Male,Black,Commission of Crime,Downtown West,Assault in Progress ,ASLT5,44.979626,-93.272499
196,Bodily Force,Male,Black,Commission of Crime,Jordan,Attempt Pick-Up ,WT,45.003397,-93.303748
197,Taser,Male,White,Commission of Crime,Windom Park,Domestic Abuse-In Progress ,OBSTRU,45.009901,-93.244693
198,Bodily Force,Male,Black,Commission of Crime,Loring Park,Fight ,DISCON,44.96706,-93.280839
199,Bodily Force,Male,White,Tensed,Standish,Domestic Abuse-In Progress ,DASLT5,44.927785,-93.227035
200,Bodily Force,Male,White,Commission of Crime,North Loop,Disturbance ,OBSTRU,44.983815,-93.278399
201,Bodily Force,Male,White,Unspecified,East Harriet,Suspicious Vehicle ,AOA,44.925909,-93.296905
202,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE,44.999153,-93.293351
203,Bodily Force,Male,Black,Tensed,Downtown West,Unwanted Person ,TRSPAS,44.973479,-93.275089
204,Bodily Force,Male,Black,Commission of Crime,North Loop,Suspicious Person ,DISCON,44.982827,-93.274773
205,Bodily Force,Male,White,Commission of Crime,Downtown West,Chase on Foot ,FLEEFT,44.980808,-93.273141
206,Improvised Weapon,Male,Black,Unspecified,Central,Suspicious Vehicle ,RECVEH,44.945482,-93.274109
207,Taser,Female,Native American,Tensed,Corcoran,Domestic Abuse-In Progress ,DASLT5,44.940432,-93.246087
208,Taser,Male,White,Tensed,CARAG,Robbery of Person ,ROBPER,44.948361,-93.291281
209,Bodily Force,Male,White,Tensed,Prospect Park - East River Road,Loud Party ,OBSTRU,44.969758,-93.222832
210,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Burglary Biz - In Progress ,BURGB,44.975836,-93.271289
211,Bodily Force,Female,White,Tensed,Corcoran,Narcotics ,OBSTRU,44.939532,-93.245456
212,Bodily Force,Male,Black,Tensed,Hawthorne,Neighbor Trouble ,OBSTRU,45.013029,-93.290726
213,Taser,Male,Black,Commission of Crime,Whittier,Fight ,ASLT3,44.948347,-93.280523
214,Bodily Force,Male,White,Unspecified,East Harriet,Suspicious Vehicle ,AOA,44.925909,-93.296905
215,Bodily Force,Male,White,Fled in Vehicle,Central,Motor Vehicle Chase ,FLEE,44.943185,-93.265782
216,Taser,Male,Black,Assaulted Officer,Hawthorne,Domestic Abuse-In Progress ,ASLT1,45.004244,-93.283383
217,Bodily Force,Male,Black,Commission of Crime,Downtown West,Unwanted Person ,OBSTRU,44.974295,-93.266112
218,Chemical Irritant,Female,White,Commission of Crime,CARAG,Domestic Abuse-In Progress ,DISCON,44.948361,-93.293832
219,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON,44.982469,-93.271954
220,Bodily Force,Female,Black,Unspecified,Holland,Domestic Abuse-In Progress ,911INT,45.011083,-93.25732
221,Taser,Male,Black,Tensed,Nicollet Island - East Bank,Assault in Progress ,ASLT3,44.986713,-93.258074
222,Bodily Force,Male,White,Fled in Vehicle,Near - North,Motor Vehicle Chase ,FLEE,44.984396,-93.304503
223,Bodily Force,Female,White,Tensed,Lowry Hill East,Domestic Abuse-In Progress ,DASLT5,44.961813,-93.290539
224,Bodily Force,Male,Black,Fled on Foot,Jordan,Domestic Abuse Report Only ,DASTR,45.013408,-93.318776
225,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,DISCON,44.979187,-93.273109
226,Bodily Force,Male,Black,Verbal Non-Compliance,Ventura Village,Trespass in Boarded Dwell ,NARC,44.962688,-93.269582
227,Bodily Force,Male,White,Fled in Vehicle,Logan Park,Motor Vehicle Chase ,FLEE,45.007207,-93.252466
228,Taser,Male,Black,Fled in Vehicle,Ventura Village,Suspicious Vehicle ,FLEE,44.961813,-93.251092
229,Bodily Force,Female,Native American,Assaulted Officer,Downtown West,Suspicious Person ,WT,44.976224,-93.269109
230,Bodily Force,Male,Black,Commission of Crime,Downtown West,Unwanted Person ,OBSTRU,44.974295,-93.266112
231,Bodily Force,Male,Native American,Tensed,Hawthorne,Domestic Abuse-In Progress ,OBSTRU,45.005359,-93.283381
232,Chemical Irritant,Male,White,Tensed,Holland,Traffic Law Enforcement ,DWIREF,45.014978,-93.257329
233,Bodily Force,Male,White,Fled in Vehicle,Near - North,Motor Vehicle Chase ,FLEE,44.984396,-93.304503
234,Bodily Force,Male,Black,Commission of Crime,Loring Park,Fight ,DISCON,44.96706,-93.280839
235,Taser,Male,White,Commission of Crime,North Loop,Disturbance ,OBSTRU,44.983815,-93.278399
236,Taser,Male,White,Commission of Crime,West Calhoun,Domestic Abuse-In Progress ,DASLT5,44.945994,-93.325057
237,Taser,Male,Black,Commission of Crime,Folwell,Fight ,NARC,45.020367,-93.296222
238,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU,44.981655,-93.271963
239,Bodily Force,Male,Black,Fled on Foot,St. Anthony East,Suspicious Vehicle ,FLEEFT,44.996891,-93.254345
240,Bodily Force,Male,Black,Fled in Vehicle,Folwell,Suspicious Vehicle ,FLEE,45.014115,-93.303181
241,Chemical Irritant,Male,Black,Fled on Foot,Longfellow,Assist an Officer ,ASLT4,44.951081,-93.234724
242,Bodily Force,Male,Black,Unspecified,Bottineau,Miscellaneous ,DISCON,45.008036,-93.271699
243,Bodily Force,Male,Black,Commission of Crime,Elliot Park,Suspicious Person ,NARC,44.966723,-93.262552
244,Bodily Force,Male,Black,Tensed,Cedar Riverside,Disturbance ,DISCON,44.967175,-93.247259
245,Bodily Force,Male,Black,Unspecified,Sheridan,Unknown Trouble ,DASTR,45.001467,-93.270074
246,Bodily Force,Male,White,Tensed,Windom Park,Domestic Abuse-In Progress ,VDNCO,45.007787,-93.237811
247,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Person ,FOBEY,44.981655,-93.271963
248,Improvised Weapon,Male,Black,Assaulted Officer,Willard - Hay,Officer Needs Help ,FLEE,44.988613,-93.317204
